date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:11	708175/708175	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2005:10:26%20GMT	https://en.wikipedia.org/wiki/United_States_Congress	C:/congress_site/congres/en.wikipedia.org/wiki/United_States_Congress.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:11	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jul%202017%2014:06:11%20GMT	https://en.wikipedia.org/wiki/legislative_branch	C:/congress_site/congres/en.wikipedia.org/wiki/legislative_branch	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:11	119393/119393	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2005:59:59%20GMT	https://en.wikipedia.org/wiki/Legislative_branch	C:/congress_site/congres/en.wikipedia.org/wiki/Legislative_branch.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:11	248725/248725	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jul%202017%2000:51:49%20GMT	https://en.wikipedia.org/wiki/Federal_government_of_the_United_States	C:/congress_site/congres/en.wikipedia.org/wiki/Federal_government_of_the_United_States.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:12	741077/741077	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2013:06:59%20GMT	https://en.wikipedia.org/wiki/Washington,_D.C.	C:/congress_site/congres/en.wikipedia.org/wiki/Washington,_D.C.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:12	90460/90460	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jul%202017%2017:16:49%20GMT	https://en.wikipedia.org/wiki/Capitol_Hill,_Washington,_D.C.	C:/congress_site/congres/en.wikipedia.org/wiki/Capitol_Hill,_Washington,_D.C.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:12	533567/533567	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202017%2007:45:17%20GMT	https://en.wikipedia.org/wiki/National_Mall	C:/congress_site/congres/en.wikipedia.org/wiki/National_Mall.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:12	72041/72041	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2020:26:13%20GMT	https://en.wikipedia.org/wiki/United_States_Capitol_dome	C:/congress_site/congres/en.wikipedia.org/wiki/United_States_Capitol_dome.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:12	163906/163906	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2018:18:50%20GMT	https://en.wikipedia.org/wiki/United_States_Capitol_rotunda	C:/congress_site/congres/en.wikipedia.org/wiki/United_States_Capitol_rotunda.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:13	154194/154194	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202017%2016:48:00%20GMT	https://en.wikipedia.org/wiki/Neoclassical_architecture	C:/congress_site/congres/en.wikipedia.org/wiki/Neoclassical_architecture.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
